"Titulo","Ano","Genero"
"The Eclipse",2009,"Horror"
"Hawking",2013,"Documentary"
"Hawking",2013,"Comedy"
"The Sheik",2014,"Documentary"
"The Sheik",2014,"Biography"
"Ride",2014,"Comedy"
"Ride",2014,"Drama"
"Outcast",2014,"Action"
"Outcast",2014,"Adventure"
"Outcast",2014,"Thriller"
"Faster",2003,"Documentary"
"High Society",2014,"Drama"
"Chandramukhi",2005,"Action"
"Chandramukhi",2005,"Comedy"
"Chandramukhi",2005,"Horror"
"Chandramukhi",2005,"Mystery"
"The Night Watch",2011,"Romance"
"The Night Watch",2011,"War"
"Night of the Demons",2009,"Action"
"Night of the Demons",2009,"Thriller"
"The Cleaning Lady",2018,"Horror"
"The Cleaning Lady",2018,"Thriller"
