Diretores
Sukhum Mathawanit
Christian Duurvoort
Jitendra Pawar
John Boulting
Lisa Ohlin
Oli Jones
Stanislaw Rózewicz
Yôji Yamada
Wayne Abbott
Mark Davis
Ronnie Del Carmen
Jeannine Roussel
Donovan Cook
Anthony Woodley
Rob LaDuca
Brian Smith
Bill Speers
Dandren Wanggyal
Martin Scorsese
Nitesh Tiwari
Jonathan Hughes
Ashutosh Gowariker
Susan Johnson
Jeff Orlowski
Ethan Coen
Joel Coen
Aaron Sorkin
Anubhav Sinha
Chris Smith
Craig Brewer
Dee Rees
Lana Wilson
Anurag Kashyap
Meghna Gulzar
David Michôd
Alex Timbers
Grant Sputore
Evgeny Afineevsky
Jérémy Clapin
Quentin Tarantino
Alice Wu
Chiwetel Ejiofor
Rob Burnett
Kornél Mundruczó
Mike Flanagan
Ildikó Enyedi
Nahnatchka Khan
Olivier Nakache
Éric Toledano
Neeraj Pandey
Joshua Tickell
Rebecca Harrell Tickell
James Lebrecht
Nicole Newnham
Sam Hargrave
Karan Johar
Remi Weekes
Thiagarajan Kumararaja
Mike Newell
Chris Bolan
R. Balki
Steven Bognar
Julia Reichert
Roman Polanski
Rajkumar Hirani
Gastón Duprat
Mariano Cohn
Will Becher
Richard Phelan
Stanley Kubrick
Tommy Wirkola
Adam Dubin
Hae Young Jung
Young Kyun Park
Jhonen Vasquez
Alice Rohrwacher
Jon Greenhalgh
Martin Campbell
Ron Howard
Ruben Fleischer
David Dobkin
Shakun Batra
Richard Shepard
Stan Lathan
Clint Eastwood
David Fincher
Clay Kaytis
Terry Gilliam
Terry Jones
Leslie Iwerks
George C. Wolfe
Matt Palmer
David O. Russell
Glen Keane
John Kahrs
Liz Garbus
Dan Gilroy
Zak Hilditch
Alex Lehmann
Ben Howling
Yolanda Ramke
Barry Levinson
Jon Alpert
David Bruckner
Jan Komasa
Nicholaus Goossen
Álvaro Brechner
Anne Fletcher
James Wan
Pippa Ehrlich
James Reed
Richard Curtis
Raymie Muzquiz
Stu Livingston
Mark Osborne
John Stevenson
Greg Mottola
Oriol Paulo
James Marsh
Thom Zimny
Edoardo Ponti
Steven Spielberg
Edgar Wright
Constance Marks
Philip Shane
Joram Lürsen
Dean DeBlois
Aitor Arregi
Jon Garaño
Jose Mari Goenaga
Icíar Bollaín
Chih-Yen Hsu
Mag Hsu
Lin Oeding
Rayka Zehtabchi
Matt Ross
Elizabeth Banks
Steve Carr
Rusty Cundieff
James Duffy
Griffin Dunne
Peter Farrelly
Patrik Forsberg
Will Graham
James Gunn
Brett Ratner
Jonathan van Tulleken
Richie Smyth
Werner Herzog
John L. Spencer
Jun'ichi Satô
Tomotaka Shibayama
Greta Gerwig
Sam Mendes
Paul Verhoeven
Bo Burnham
Rachel Mason
Sian Heder
Morgan Neville
Tom Ford
Dylan Bank
Daniel DiMauro
Morgan Pehme
Lasse Hallström
Kevin Costner
Abhishek Chaubey
Ashwiny Iyer Tiwari
Houda Benyamina
Oded Raz
Abhay Chopra
Jon Olb
Madeleine Parry
Jay Karas
Gabriele Muccino
Benny Safdie
Josh Safdie
Sara Colangelo
Tom Hooper
Shonali Bose
Kevin R. Adams
Joe Ksander
Ricardo Curtis
Nana Ekvtimishvili
Simon Groß
Bert Marcus
Sujoy Ghosh
Kitarô Kôsaka
Kris Pearn
Cory Evans
Rob Lodermeier
Taika Waititi
Matthew Vaughn
Jeremy Rush
Michel Hazanavicius
Alessio Cremonini
Chris Moukarbel
J.A. Bayona
Sue Kim
Jennifer Yuh Nelson
Jeff Tremaine
Sriram Raghavan
Mati Diop
Hikari
Vince Gilligan
Len Wiseman
Gore Verbinski
Jeremy Saulnier
John G. Avildsen
Olivier Abbou
Sam Dunn
Michael Bonfiglio
Seth Barrish
Naoko Yamada
Sergio Pablos
Carlos Martínez López
Oliver Stone
Marc Forster
Farhan Akhtar
Shawn Levy
John Lee Hancock
Sandi Tan
Jon Favreau
Dylan Mohan Gray
Jay Roach
Billy Corben
Gina Prince-Bythewood
James Franco
Ryan Coogler
Sean Baker
Daniel J. Clark
John Hillcoat
Paul Urkijo Alijo
Bonni Cohen
Jon Shenk
Rob Reiner
Marcus Raboy
Will Gluck
Kristina Goolsby
Ashley York
Nancy Schwartzman
Harry Bradbeer
Paul Haggis
Mehmet Ada Öztekin
Aamir Khan
Amole Gupte
Nicholas Zeig-Owens
Reema Kagti
Priyamvada Narayanan
Bruce Beresford
Jessie Nelson
Jim Mickle
Hideaki Anno
Kazuya Tsurumaki
George Miller
Aram Rappaport
Isold Uggadottir
Yorgos Lanthimos
Alberto Rodríguez
David Ayer
Peyton Reed
Kyle Newacheck
Aniruddha Roy Chowdhury
Mar Targarona
Martin Brest
Haoling Li
Yoshitaka Takeuch
Xiaoxing Yi
Antonia Bird
Alan Parker
Adam Leon
Luke Greenfield
Fernando Meirelles
Frant Gwo
Ole Bornedal
Francesco Cinquemani
George Gallo
Bobcat Goldthwait
Danny Boyle
Randal Kleiser
Antoine Fuqua
Robert Schwentke
Roger Donaldson
John Madden
Jaume Collet-Serra
Michael Bay
Prentice Penny
Karthik Subbaraj
George Cukor
Eva Orner
David Wain
Robert Luketic
Brian Helgeland
Peter Middleton
James Spinney
Ari Sandel
Lonny Price
Malik Vitthal
David Slade
Vikas Bahl
Joe Piscatella
Wolfgang Petersen
Ric Roman Waugh
Vincent Ward
Gideon Raff
Ariel Vromen
Zack Snyder
Eric Darnell
Tom McGrath
Bryan Fogel
David Frankel
Ryan Polito
Jake Szymanski
Yance Ford
Ramin Bahrani
Bille August
Armando Iannucci
Måns Mårlind
Björn Stein
Stephen Frears
Haifaa Al-Mansour
J Blakeson
Lee Daniels
Tim Johnson
Kevin Smith
Roberta Grossman
Sophie Sartain
Tarun Mansukhani
Adrian Molina
Patrick Tatopoulos
Peter Jackson
Ivan Reitman
Elaine McMillion Sheldon
David Lowery
Colin Trevorrow
Todd Holland
Pierre Morel
Donick Cary
Cary Joji Fukunaga
Ben Young
Gaspar Antillo
Tony Elliott
Jeffrey Walker
Christopher Storer
Joe Berlinger
Scott Aukerman
Chris Miller
Vince Marcello
Guillaume Pierret
Alexander Payne
Nicolas Cage
S.S. Rajamouli
Andrew Dominik
Dominic Sena
Chris Appelhans
Rahul Dholakia
Luke Snellin
McG
Ilya Naishuller
Tig Notaro
Sam Rega
Rachel Lears
Russell Mulcahy
Jonas Åkerlund
Jacob Kornbluth
Sari Gilman
Jennifer M. Kroot
Bill Weber
Peter Berg
Sang-ho Yeon
Catherine Hardwicke
Tarsem Singh
