Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Castlevania,2017,,4 Seasons,Netflix,18+,8.3/10,82/100,A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.
Star Trek,1966,,128 min,Netflix,7+,8.3/10,82/100,"On their first voyage aboard the starship Enterprise, cocky rebel James T. Kirk and logic-driven Vulcan Spock try to defeat a vengeful Romulan commander."
The Kominsky Method,2018,,3 Seasons,Netflix,18+,8.2/10,82/100,Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.
Hunter x Hunter,2011,,,Outra,16+,9.0/10,82/100,
Dead to Me,2019,,2 Seasons,Netflix,18+,8.0/10,82/100,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.
The Haunting of Hill House,2018,,1 Season,Netflix,18+,8.6/10,82/100,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
Russian Doll,2019,,1 Season,Netflix,18+,7.9/10,82/100,Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop – and staring down the barrel of her own mortality.
Kingdom,2019,,2 Seasons,Netflix,18+,8.4/10,82/100,"While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land."
Neon Genesis Evangelion,1995,,1 Season,Netflix,16+,8.5/10,82/100,"Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels."
Naruto,2002,,9 Seasons,Netflix,7+,8.3/10,81/100,"Guided by the spirit demon within him, orphaned Naruto learns to harness his powers as a ninja in this anime adventure series."
NCIS,2003,,15 Seasons,Netflix,16+,7.7/10,81/100,Follow the quirky agents of the NCIS – the Naval Criminal Investigative Service – as they track down terrorists and other high-profile criminals.
Manifest,2018,,3 Seasons,Netflix,16+,7.2/10,81/100,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange, new realities."
Halt and Catch Fire,2014,,4 Seasons,Netflix,16+,8.4/10,81/100,"Re-creating the dawn of the personal computer era, this digital drama tracks the fates of an industry visionary and his brilliant colleagues."
