"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"The Accidental Husband",2008,"90.0","Outra","13+","5.6/10","60/100","Emma Lloyd has made a career out of her sensible, mature and responsible approach to relationships. She has a hit radio talk show, an impending book deal, and a loving relationship with her fiancé, Richard, a conventional sort-which is precisely what Emma is drawn to. Then Emma finds out that she is already married to a man she's never met before, a result of a misguided prank that leaves her bewildered and very confused. Worse than that, her plans for the future are now threatened. With her wedding just around the corner, Emma must find the mystery man and obtain an annulment. Emma tracks down her ""accidental husband"" - Patrick, a charming and handsome neighborhood fireman, with a big secret...that he was behind the ""accidental"" marriage. Unable to fess up, Patrick goes along with the ruse pretending to be just as baffled as Emma. While at first their opposite approaches to life create much tension and chaos, Emma soon starts to admire his carefree passion for life and doubt her own conservative, button-down views on life and love. As Emma's wedding draws near, she is faced with the choice between her safe life with Richard or the chance to live in the passionate and spontaneous world that Patrick inhabits."
"The Comedy of Terrors",1964,"84.0","Outra",,"6.7/10","60/100","Waldo Trumbull, an undertaker who hasn't had any 'customers' in a long time is forced the pay one year's back-rent. To get money he starts to kill people in order to get new clients."
"Proof",1991,"42.0","Outra","18+","7.2/10","60/100","Black comedy about a blind man, Martin, who takes photographs as ""proof"" that the world really is as others describe it to him. The film explores his antagonistic relationships with Celia, who cleans and cooks for him and habitually rearranges the furniture in the house, and with Andy, a mate he thinks he can trust."
"Jimmy O. Yang: Good Deal",2020,"57.0","Outra","18+","7.2/10","60/100",
"Oddball",2015,"95.0","Outra","7+","6.4/10","60/100","The true story about an eccentric chicken farmer (Shane Jacobson) who, with the help of his granddaughter, trains his mischievous dog Oddball to protect a wild penguin sanctuary from fox attacks and in the process tries to reunite his family and save their seaside town."
"Jawaani Jaaneman",2020,"119.0","Outra",,"6.6/10","60/100","A carefree, middle-aged man who spends most of his time at parties with beautiful women, suddenly finds himself the father of a young girl. She introduces him to her `hippie` mother, and just when he thinks things can`t get worse his daughter delivers yet another shock that she is pregnant."
"Shivaay",2016,"153.0","Outra","13+","6.2/10","60/100","Shivaay is a well-known mountain climber/guide in Himalayas. On one of his adventure he meets Olga and both fall in love. Soon they discover that Olga is pregnant but she doesn't want the child. But Shivaay convinces her to give birth to the baby, Olga leaves the country after giving birth to his baby without even seeing her. 9 years later Shivaay's daughter Gaura finds that her mother is still alive and lives in Bulgaria. Gaura hates Shivaay for hiding the truth about her mother and insists on meeting her. Shivaay and Gaura travel to Bulgaria to meet Olga. They try to find Olga but she doesn't live at the same address anymore. While trying to find Olga with the help of Indian embassy Gaura gets kidnapped by a child trafficking group and Shivaay is left helpless as the Bulgarian police frame him of being child trafficker because Gaura doesn't look like Shivaay at all."
"Back Roads",2019,"101.0","Outra",,"6.5/10","60/100","""Back Roads"" centers on a young man stuck in the Pennsylvania backwoods caring for his three younger sisters after the shooting death of his abusive father and the arrest of his mother. Family secrets and unspoken truths threaten to consume him."
"The Count of Monte-Cristo",1975,"119.0","Outra",,"7.0/10","60/100","A TV adaptation of the classic Alexandre Dumas novel. Edmond Dantes is falsely accused by those jealous of his good fortune, and is sentenced to spend the rest of his life in the notorious island prison, Chateau d'If. While imprisoned, he meets the Abbe Faria, a fellow prisoner whom everyone believes to be mad. The Abbe tells Edmond of a fantastic treasure hidden away on a tiny island, that only he knows the location of. After many years in prison, the old Abbe dies, and Edmond escapes disguised as the dead body. Now free, Edmond must find the treasure the Abbe told him of, so he can use the new-found wealth to exact revenge on those who have wronged him."
"C.H.U.D.",1984,"88.0","Outra","18+","5.6/10","60/100","A rash of bizarre murders in New York City seems to point to a group of grotesquely deformed vagrants living in the sewers. A courageous policeman, a photo journalist and his girlfriend, and a nutty bum, who seems to know a lot about the creatures, band together to try and determine what the creatures are and how to stop them."
"Filmage: The Story of Descendents/All",2013,"90.0","Outra",,"8.2/10","60/100","Long before punk rock inflicted its puncture wound on the map of mainstream music, the Descendents were in a van brewing a potent mix of pop, angst, love and coffee and influencing a generation to come. FILMAGE: The Story of DESCENDENTS/ALL follows drummer and square-peg Bill Stevenson as he pushes himself and a rotating door of band-mates to ""achieve ALL,"" his relentless concept of ""going for greatness, the utmost possible"" despite any and all setbacks. Interviews with the band and contemporaries such as Dave Grohl (Foo Fighters, Nirvana), Mark Hoppus (Blink-182), Mike Watt (Minutemen), Brett Gurewitz (Bad Religion) and many more reveal the untold tale of one of the most overachieving and influential bands in punk, serving as a reminder to always ""go for greatness,"" because sometimes you're gonna get it."
"So Undercover",2012,"94.0","Outra","13+","5.0/10","60/100","Molly is a teen who works with her father, an ex-cop turned P.I. One day an FBI agent approaches and wants her to work for them. They want her to keep an eye on the daughter of a man who is going to testify against a criminal. So they send her to the college where the daughter is attending. And she tries to fit in while keeping an eye on her and trying to see if there's someone there who doesn't appear who they are."
"Outpost",2008,"90.0","Outra","18+","5.8/10","60/100","In a seedy bar in a town ravaged by war, mysterious businessman Hunt hires ex-marine D.C. to assemble a crack team of ex-soldiers to protect him on a dangerous journey into no-man's land. To this gang of hardened warriors, battle-worn veterans and borderline criminals killing is just a job - and one they enjoy. Their mission - to scope out an old military bunker. It should be easy - 48 hours at the most. Lots of cash for little risk, or so he says. Once at the outpost, the men make a horrific discovery that turns their mission on its head - the scene of a bloody and gruesome series of experiments, carried out by the Nazis on their own soldiers during WWII. Amid the carnage, they find something even more disturbing - someone who's still alive. As war rages above ground, and a mysterious enemy emerges from the darkness below, D.C. and his men find themselves trapped in a claustrophobic and terrifying scenario. Their mission is no longer one of safe-guarding - it's one of survival. Together they must discover why Hunt has brought them to the outpost - and what it is that's killing them off, one by one."
