Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Young & Hungry,2014,22 min,5 Seasons,Netflix,16+,7.4/10,68/100,"A female food blogger is hired as a personal chef by a young tech tycoon and faces a new menu of challenges, both inside and outside of the kitchen."
Caliphate,2020,46 min,1 Season,Netflix,18+,8.2/10,68/100,"An impending ISIS attack on Sweden entangles a group of women, including a mother in a bind, a spirited student and an ambitious cop."
'Allo 'Allo!,1984,,,Outra,,8.3/10,68/100,
Good Witch,2015,48 min,5 Seasons,Netflix,7+,7.3/10,68/100,"Raising her daughter in a small town, an enchanting widow with magical powers provokes the interest and exasperation of a skeptical big-city doctor."
Gilmore Girls: A Year in the Life,2016,370 min,1 Season,Netflix,16+,7.6/10,68/100,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change."
Aquarius,2015,42 min,2 Seasons,Netflix,16+,7.1/10,68/100,"Amid the turmoil of 1960s LA, two cops and a prominent political family are drawn into the sex- and drug-fueled web of a young Charles Manson."
Firefly Lane,2021,,1 Season,Netflix,18+,7.4/10,67/100,Best friends Tully and Kate support each other through good times and bad with an unbreakable bond that carries them from their teens to their 40s.
White Gold,2017,30 min,2 Seasons,Netflix,18+,7.4/10,67/100,"In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
Hyperdrive,2019,29 min,1 Season,Netflix,7+,8.1/10,67/100,"Elite street racers from around the world test their limits in supercharged custom cars on the biggest, baddest automotive obstacle course ever built."
Reply 1988,2015,90 min,1 Season,Netflix,,9.1/10,67/100,Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.
Ninjago: Masters of Spinjitzu,2012,30 min,10 Seasons,Outra,all,7.2/10,67/100,"Long before time had a name, Ninjago was created by the First Spinjitzu Master by using the Four Elemental Weapons of Spinjitzu; weapons so powerful, no one can handle all of their power at once. When he passed away, his two sons swore to protect them, but the oldest, Lord Garmadon, was consumed by darkness and wanted to possess them all. A battle between brothers broke out and Lord Garmadon was struck down and banished to the Underworld. Peace returned to Ninjago as the younger brother, Sensei Wu, hid the elemental weapons in the far corners of Ninjago. Centuries later, Lord Garmadon has returned with the help of his Skeleton army to collect the Golden Weapons. Sensei Wu turns to the aid of four young Ninja who are to be trained to become the protectors of each of the weapons. Although the Ninja successfully survive a harrowing quest to retrieve the elemental weapons, they fall into Lord Garmadon's master plan, releasing the dark Lord from his prison, and allowing him to escape through a vortex, with hope that he would one day return with the ability to possess all four weapons. Peace has returned to Ninjago, while the four ninja swear to protect and learn to master their Golden Weapons... Awaiting Lord Garmadon's return."
Spotless,2015,60 min,1 Season,Netflix,18+,7.8/10,67/100,The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.
Devilman: Crybaby,2018,25 min,1 Seasons,Outra,18+,7.6/10,67/100,
BEASTARS,2019,,2 Seasons,Netflix,18+,7.8/10,67/100,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst."
Kill la Kill,2013,25 min,1 Season,Netflix,18+,7.9/10,67/100,"The ""woman with the scissor blade"" – Ryuko Matoi – searches for clues all around the world for the truth behind her father's death."
Down to Earth with Zac Efron,2020,,1 Season,Netflix,7+,8.1/10,67/100,"Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live."
Ancient Aliens,2010,42 min,1 Season,Netflix,7+,7.2/10,67/100,"Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?"
Slasher,2016,60 min,3 Seasons,Netflix,18+,6.7/10,67/100,Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
Ray,2021,65 min,1 Season,Netflix,15+,7.3/10,67/100,"From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series."
Time: The Kalief Browder Story,2017,,1 Season,Netflix,16+,8.5/10,67/100,"This series traces the tragic case of Kalief Browder, a Bronx teen who spent three horrific years in jail, despite never being convicted of a crime."
Away,2020,498 min,1 Season,Netflix,16+,6.6/10,67/100,Commander Emma Green leaves behind her husband and daughter to lead an international crew of astronauts on a perilous three-year mission to Mars.
No Tomorrow,2016,43 min,1 Season,Netflix,7+,7.3/10,67/100,"Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
